温度,时间,,
18.2,2019/3/8 20:30,,
18.2,2019/3/8 20:20,,
18.3,2019/3/8 20:10,,
18.3,2019/3/8 20:00,,
18.3,2019/3/8 19:50,,
18.1,2019/3/8 19:40,,
18.2,2019/3/8 19:30,,
18.4,2019/3/8 19:20,,
18.2,2019/3/8 19:10,,
18.3,2019/3/8 19:00,,
18.1,2019/3/8 18:50,,
18.1,2019/3/8 18:40,,
18.3,2019/3/8 18:30,,
18.3,2019/3/8 18:20,,
18.2,2019/3/8 18:10,,
18.2,2019/3/8 18:00,,
18.1,2019/3/8 17:50,,
18.1,2019/3/8 17:40,,
17.7,2019/3/8 17:30,,
17.6,2019/3/8 17:20,,
17.6,2019/3/8 17:10,,
17.7,2019/3/8 17:00,,
17.7,2019/3/8 16:50,,
17.7,2019/3/8 16:40,,
17.7,2019/3/8 16:30,,
17.8,2019/3/8 16:20,,
17.8,2019/3/8 16:10,,
17.8,2019/3/8 16:00,,
17.8,2019/3/8 15:50,,
17.8,2019/3/8 15:40,,
17.8,2019/3/8 15:30,,
18,2019/3/8 15:20,,
18,2019/3/8 15:10,,
18,2019/3/8 15:00,,
18.1,2019/3/8 14:50,,
18,2019/3/8 14:40,,
18,2019/3/8 14:30,,
17.8,2019/3/8 14:20,,
17.7,2019/3/8 14:10,,
17.6,2019/3/8 14:00,,
17.7,2019/3/8 13:50,,
17.7,2019/3/8 13:40,,
17.8,2019/3/8 13:30,,
17.8,2019/3/8 13:20,,
17.9,2019/3/8 13:10,,
17.9,2019/3/8 13:00,,
18,2019/3/8 12:50,,
18,2019/3/8 12:40,,
17.8,2019/3/8 12:30,,
17.2,2019/3/8 12:20,,
17.1,2019/3/8 12:10,,
17.1,2019/3/8 12:00,,
17.3,2019/3/8 11:50,,
17.3,2019/3/8 11:40,,
17,2019/3/8 11:30,,
17,2019/3/8 11:20,,
17,2019/3/8 11:10,,
17,2019/3/8 11:00,,
17,2019/3/8 10:50,,
17,2019/3/8 10:40,,
17,2019/3/8 10:30,,
17,2019/3/8 10:20,,
17.2,2019/3/8 10:10,,
16.9,2019/3/8 10:00,,
17,2019/3/8 9:50,,
17,2019/3/8 9:40,,
17,2019/3/8 9:30,,
16.7,2019/3/8 9:20,,
16.6,2019/3/8 9:10,,
16.7,2019/3/8 9:00,,
17,2019/3/8 8:50,,
17,2019/3/8 8:40,,
17.3,2019/3/8 8:30,,
17.3,2019/3/8 8:20,,
17.2,2019/3/8 8:10,,
17.1,2019/3/8 8:00,,
17.3,2019/3/8 7:50,,
18.2,2019/3/8 7:40,,
18.2,2019/3/8 7:30,,
18.2,2019/3/8 7:20,,
18.2,2019/3/8 7:10,,
18.2,2019/3/8 7:00,,
18.2,2019/3/8 6:50,,
18.3,2019/3/8 6:40,,
18.3,2019/3/8 6:30,,
18.3,2019/3/8 6:20,,
18.2,2019/3/8 6:10,,
18.2,2019/3/8 6:00,,
18.3,2019/3/8 5:50,,
18.3,2019/3/8 5:40,,
18.3,2019/3/8 5:30,,
18.3,2019/3/8 5:20,,
18.3,2019/3/8 5:10,,
18.3,2019/3/8 5:00,,
18.3,2019/3/8 4:50,,
18.3,2019/3/8 4:40,,
18.3,2019/3/8 4:30,,
18.3,2019/3/8 4:20,,
18.3,2019/3/8 4:10,,
18.3,2019/3/8 4:00,,
18.3,2019/3/8 3:50,,
18.3,2019/3/8 3:40,,
18.3,2019/3/8 3:30,,
18.3,2019/3/8 3:20,,
18.3,2019/3/8 3:10,,
18.3,2019/3/8 3:00,,
18.3,2019/3/8 2:50,,
18.4,2019/3/8 2:40,,
18.4,2019/3/8 2:30,,
18.4,2019/3/8 2:20,,
18.4,2019/3/8 2:10,,
18.4,2019/3/8 2:00,,
18.4,2019/3/8 1:50,,
18.4,2019/3/8 1:40,,
18.4,2019/3/8 1:30,,
18.4,2019/3/8 1:20,,
18.5,2019/3/8 1:10,,
18.4,2019/3/8 1:00,,
18.5,2019/3/8 0:50,,
18.5,2019/3/8 0:40,,
18.5,2019/3/8 0:30,,
18.5,2019/3/8 0:20,,
18.5,2019/3/8 0:10,,
18.5,2019/3/8 0:00,,
18.5,2019/3/7 23:50,,
18.5,2019/3/7 23:40,,
18.5,2019/3/7 23:30,,
18.5,2019/3/7 23:20,,
18.5,2019/3/7 23:10,,
18.5,2019/3/7 23:00,,
18.5,2019/3/7 22:50,,
18.5,2019/3/7 22:40,,
18.5,2019/3/7 22:30,,
18.5,2019/3/7 22:20,,
18.5,2019/3/7 22:10,,
18.5,2019/3/7 22:00,,
18.5,2019/3/7 21:50,,
18.5,2019/3/7 21:40,,
18.5,2019/3/7 21:30,,
18.5,2019/3/7 21:20,,
18.4,2019/3/7 21:10,,
18.4,2019/3/7 21:00,,
18.4,2019/3/7 20:50,,
18.4,2019/3/7 20:40,,
18.2,2019/3/7 20:30,,
18,2019/3/7 20:20,,
18,2019/3/7 20:10,,
18.3,2019/3/7 20:00,,
18.3,2019/3/7 19:50,,
18.5,2019/3/7 19:40,,
18.5,2019/3/7 19:30,,
18.5,2019/3/7 19:20,,
18.6,2019/3/7 19:10,,
18.6,2019/3/7 19:00,,
18.3,2019/3/7 18:50,,
18.3,2019/3/7 18:40,,
18.2,2019/3/7 18:30,,
18.1,2019/3/7 18:20,,
18.1,2019/3/7 18:10,,
18.1,2019/3/7 18:00,,
18.1,2019/3/7 17:50,,
18.1,2019/3/7 17:40,,
18.2,2019/3/7 17:30,,
18.2,2019/3/7 17:20,,
18.2,2019/3/7 17:10,,
18.2,2019/3/7 17:00,,
18.1,2019/3/7 16:50,,
18.2,2019/3/7 16:40,,
18.2,2019/3/7 16:30,,
18.2,2019/3/7 16:20,,
18.3,2019/3/7 16:10,,
18.4,2019/3/7 16:00,,
18.4,2019/3/7 15:50,,
18.6,2019/3/7 15:40,,
18.5,2019/3/7 15:30,,
18.5,2019/3/7 15:20,,
18.5,2019/3/7 15:10,,
18.5,2019/3/7 15:00,,
18.6,2019/3/7 14:50,,
18.6,2019/3/7 14:40,,
18.5,2019/3/7 14:30,,
18.5,2019/3/7 14:20,,
18.5,2019/3/7 14:10,,
18.6,2019/3/7 14:00,,
18.5,2019/3/7 13:50,,
18.6,2019/3/7 13:40,,
18.2,2019/3/7 13:30,,
18.3,2019/3/7 13:20,,
18.3,2019/3/7 13:10,,
18.2,2019/3/7 13:00,,
18,2019/3/7 12:50,,
18.1,2019/3/7 12:40,,
18,2019/3/7 12:30,,
18,2019/3/7 12:20,,
18,2019/3/7 12:10,,
17.6,2019/3/7 12:00,,
17.5,2019/3/7 11:50,,
17.5,2019/3/7 11:40,,
17.4,2019/3/7 11:30,,
17.2,2019/3/7 11:20,,
17.1,2019/3/7 11:10,,
17.1,2019/3/7 11:00,,
17,2019/3/7 10:50,,
17.1,2019/3/7 10:40,,
17,2019/3/7 10:30,,
17,2019/3/7 10:20,,
17,2019/3/7 10:10,,
16.9,2019/3/7 10:00,,
17,2019/3/7 9:50,,
17,2019/3/7 9:40,,
17.2,2019/3/7 9:30,,
17.4,2019/3/7 9:20,,
17.3,2019/3/7 9:10,,
17.2,2019/3/7 9:00,,
17.5,2019/3/7 8:50,,
17.5,2019/3/7 8:40,,
17.4,2019/3/7 8:30,,
17.6,2019/3/7 8:20,,
17.6,2019/3/7 8:10,,
17.5,2019/3/7 8:00,,
17.2,2019/3/7 7:50,,
18.5,2019/3/7 7:40,,
18.5,2019/3/7 7:30,,
18.5,2019/3/7 7:20,,
18.5,2019/3/7 7:10,,
18.5,2019/3/7 7:00,,
18.5,2019/3/7 6:50,,
18.5,2019/3/7 6:40,,
18.5,2019/3/7 6:30,,
18.5,2019/3/7 6:20,,
18.5,2019/3/7 6:10,,
18.5,2019/3/7 6:00,,
18.5,2019/3/7 5:50,,
18.5,2019/3/7 5:40,,
18.5,2019/3/7 5:30,,
18.5,2019/3/7 5:20,,
18.5,2019/3/7 5:10,,
18.5,2019/3/7 5:00,,
18.5,2019/3/7 4:50,,
18.5,2019/3/7 4:40,,
18.5,2019/3/7 4:30,,
18.5,2019/3/7 4:20,,
18.5,2019/3/7 4:10,,
18.5,2019/3/7 4:00,,
18.5,2019/3/7 3:50,,
18.5,2019/3/7 3:40,,
18.5,2019/3/7 3:30,,
18.5,2019/3/7 3:20,,
18.6,2019/3/7 3:10,,
18.5,2019/3/7 3:00,,
18.6,2019/3/7 2:50,,
18.6,2019/3/7 2:40,,
18.6,2019/3/7 2:30,,
18.6,2019/3/7 2:20,,
18.6,2019/3/7 2:10,,
18.6,2019/3/7 2:00,,
18.6,2019/3/7 1:50,,
18.6,2019/3/7 1:40,,
18.6,2019/3/7 1:30,,
18.6,2019/3/7 1:20,,
18.6,2019/3/7 1:10,,
18.6,2019/3/7 1:00,,
18.6,2019/3/7 0:50,,
18.6,2019/3/7 0:40,,
18.6,2019/3/7 0:30,,
18.6,2019/3/7 0:20,,
18.6,2019/3/7 0:10,,
18.6,2019/3/7 0:00,,
18.6,2019/3/6 23:50,,
18.6,2019/3/6 23:40,,
18.6,2019/3/6 23:30,,
18.6,2019/3/6 23:20,,
18.6,2019/3/6 23:10,,
18.6,2019/3/6 23:00,,
18.7,2019/3/6 22:50,,
18.7,2019/3/6 22:40,,
18.7,2019/3/6 22:30,,
18.7,2019/3/6 22:20,,
18.7,2019/3/6 22:10,,
18.7,2019/3/6 22:00,,
18.7,2019/3/6 21:50,,
18.8,2019/3/6 21:40,,
18.8,2019/3/6 21:30,,
18.8,2019/3/6 21:20,,
18.8,2019/3/6 21:10,,
19,2019/3/6 21:00,,
19.1,2019/3/6 20:50,,
19,2019/3/6 20:40,,
19,2019/3/6 20:30,,
18.7,2019/3/6 20:20,,
18.4,2019/3/6 20:10,,
18.6,2019/3/6 20:00,,
18.5,2019/3/6 19:50,,
18.1,2019/3/6 19:40,,
18.7,2019/3/6 19:30,,
18.5,2019/3/6 19:20,,
18.5,2019/3/6 19:10,,
18.7,2019/3/6 19:00,,
18.9,2019/3/6 18:50,,
18.6,2019/3/6 18:40,,
18.6,2019/3/6 18:30,,
18.8,2019/3/6 18:20,,
18.3,2019/3/6 18:10,,
17.8,2019/3/6 18:00,,
17.8,2019/3/6 17:50,,
18,2019/3/6 17:40,,
18.8,2019/3/6 17:30,,
18.6,2019/3/6 17:20,,
18.3,2019/3/6 17:10,,
18.3,2019/3/6 17:00,,
18.4,2019/3/6 16:50,,
18.6,2019/3/6 16:40,,
17.7,2019/3/6 16:30,,
17.6,2019/3/6 16:20,,
17.8,2019/3/6 16:10,,
17.6,2019/3/6 16:00,,
17.8,2019/3/6 15:50,,
17.7,2019/3/6 15:40,,
17.6,2019/3/6 15:30,,
17.8,2019/3/6 15:20,,
17.8,2019/3/6 15:10,,
17.7,2019/3/6 15:00,,
17.4,2019/3/6 14:50,,
17.3,2019/3/6 14:40,,
17.3,2019/3/6 14:30,,
17.4,2019/3/6 14:20,,
17.7,2019/3/6 14:10,,
17.8,2019/3/6 14:00,,
17.8,2019/3/6 13:50,,
17.7,2019/3/6 13:40,,
18,2019/3/6 13:30,,
18,2019/3/6 13:20,,
18.2,2019/3/6 13:10,,
18.8,2019/3/6 13:00,,
18.1,2019/3/6 12:50,,
17.7,2019/3/6 12:40,,
17.8,2019/3/6 12:30,,
18.1,2019/3/6 12:20,,
18.3,2019/3/6 12:10,,
18.6,2019/3/6 12:00,,
17.7,2019/3/6 11:50,,
17.9,2019/3/6 11:40,,
18.2,2019/3/6 11:30,,
18.6,2019/3/6 11:20,,
18.5,2019/3/6 11:10,,
17.5,2019/3/6 11:00,,
17.3,2019/3/6 10:50,,
17.4,2019/3/6 10:40,,
17.3,2019/3/6 10:30,,
17.5,2019/3/6 10:20,,
17.6,2019/3/6 10:10,,
17.4,2019/3/6 10:00,,
17.4,2019/3/6 9:50,,
17.5,2019/3/6 9:40,,
17.6,2019/3/6 9:30,,
17.8,2019/3/6 9:20,,
17.8,2019/3/6 9:10,,
18,2019/3/6 9:00,,
18.2,2019/3/6 8:50,,
18,2019/3/6 8:40,,
18,2019/3/6 8:30,,
17.8,2019/3/6 8:20,,
17.6,2019/3/6 8:10,,
17.6,2019/3/6 8:00,,
18.5,2019/3/6 7:50,,
18.6,2019/3/6 7:40,,
18.6,2019/3/6 7:30,,
18.6,2019/3/6 7:20,,
18.6,2019/3/6 7:10,,
18.6,2019/3/6 7:00,,
18.5,2019/3/6 6:50,,
18.5,2019/3/6 6:40,,
18.5,2019/3/6 6:30,,
18.5,2019/3/6 6:20,,
18.5,2019/3/6 6:10,,
18.6,2019/3/6 6:00,,
18.6,2019/3/6 5:50,,
18.6,2019/3/6 5:40,,
18.6,2019/3/6 5:30,,
18.6,2019/3/6 5:20,,
18.6,2019/3/6 5:10,,
18.6,2019/3/6 5:00,,
18.6,2019/3/6 4:50,,
18.6,2019/3/6 4:40,,
18.7,2019/3/6 4:30,,
18.7,2019/3/6 4:20,,
18.7,2019/3/6 4:10,,
18.7,2019/3/6 4:00,,
18.7,2019/3/6 3:50,,
18.7,2019/3/6 3:40,,
18.7,2019/3/6 3:30,,
18.6,2019/3/6 3:20,,
18.7,2019/3/6 3:10,,
18.7,2019/3/6 3:00,,
18.7,2019/3/6 2:50,,
18.7,2019/3/6 2:40,,
18.7,2019/3/6 2:30,,
18.7,2019/3/6 2:20,,
18.7,2019/3/6 2:10,,
18.8,2019/3/6 2:00,,
18.8,2019/3/6 1:50,,
18.8,2019/3/6 1:40,,
18.8,2019/3/6 1:30,,
18.8,2019/3/6 1:20,,
18.8,2019/3/6 1:10,,
18.8,2019/3/6 1:00,,
18.8,2019/3/6 0:50,,
18.8,2019/3/6 0:40,,
18.8,2019/3/6 0:30,,
18.8,2019/3/6 0:20,,
18.8,2019/3/6 0:10,,
18.8,2019/3/6 0:00,,
18.8,2019/3/5 23:50,,
18.8,2019/3/5 23:40,,
18.8,2019/3/5 23:30,,
18.8,2019/3/5 23:20,,
18.8,2019/3/5 23:10,,
18.7,2019/3/5 23:00,,
18.7,2019/3/5 22:50,,
18.7,2019/3/5 22:40,,
18.6,2019/3/5 22:30,,
18.6,2019/3/5 22:20,,
18.6,2019/3/5 22:10,,
18.6,2019/3/5 22:00,,
18.6,2019/3/5 21:50,,
18.6,2019/3/5 21:40,,
18.6,2019/3/5 21:30,,
18.6,2019/3/5 21:20,,
18.6,2019/3/5 21:10,,
18.7,2019/3/5 21:00,,
18.8,2019/3/5 20:50,,
18.9,2019/3/5 20:40,,
18.8,2019/3/5 20:30,,
18.8,2019/3/5 20:20,,
18.2,2019/3/5 20:10,,
18.3,2019/3/5 20:00,,
18.7,2019/3/5 19:50,,
18.6,2019/3/5 19:40,,
18.5,2019/3/5 19:30,,
18.4,2019/3/5 19:20,,
18.4,2019/3/5 19:10,,
18.6,2019/3/5 19:00,,
18.5,2019/3/5 18:52,,
18.5,2019/3/5 18:50,,
18.1,2019/3/5 18:40,,
18.1,2019/3/5 18:30,,
18.2,2019/3/5 18:20,,
18.3,2019/3/5 18:10,,
18.3,2019/3/5 18:00,,
18.4,2019/3/5 17:50,,
18.5,2019/3/5 17:40,,
18.5,2019/3/5 17:30,,
18.5,2019/3/5 17:20,,
18.5,2019/3/5 17:10,,
18.6,2019/3/5 17:00,,
18.5,2019/3/5 16:50,,
18.6,2019/3/5 16:40,,
18.5,2019/3/5 16:30,,
18.5,2019/3/5 16:20,,
18.5,2019/3/5 16:10,,
18.5,2019/3/5 16:00,,
18.3,2019/3/5 15:50,,
18.3,2019/3/5 15:40,,
18.4,2019/3/5 15:30,,
18.3,2019/3/5 15:20,,
18.3,2019/3/5 15:10,,
18.4,2019/3/5 15:00,,
18.4,2019/3/5 14:50,,
18.4,2019/3/5 14:40,,
18.4,2019/3/5 14:30,,
18.5,2019/3/5 14:20,,
18.8,2019/3/5 14:10,,
18.5,2019/3/5 14:00,,
18.5,2019/3/5 13:50,,
18.6,2019/3/5 13:40,,
18.8,2019/3/5 13:30,,
18.8,2019/3/5 13:20,,
19.2,2019/3/5 13:10,,
19.1,2019/3/5 13:00,,
19.1,2019/3/5 12:50,,
19.1,2019/3/5 12:40,,
19,2019/3/5 12:30,,
18.8,2019/3/5 12:20,,
18.9,2019/3/5 12:10,,
18.7,2019/3/5 12:00,,
18.6,2019/3/5 11:50,,
18.6,2019/3/5 11:40,,
18.5,2019/3/5 11:30,,
18.5,2019/3/5 11:20,,
18.5,2019/3/5 11:10,,
18.2,2019/3/5 11:00,,
17.7,2019/3/5 10:50,,
17.7,2019/3/5 10:40,,
17.8,2019/3/5 10:30,,
17.8,2019/3/5 10:20,,
17.4,2019/3/5 10:10,,
17.4,2019/3/5 10:00,,
17.3,2019/3/5 9:50,,
17.4,2019/3/5 9:40,,
17.4,2019/3/5 9:30,,
17.3,2019/3/5 9:20,,
17.3,2019/3/5 9:10,,
17.4,2019/3/5 9:00,,
17.5,2019/3/5 8:50,,
17.4,2019/3/5 8:40,,
17.3,2019/3/5 8:30,,
17.1,2019/3/5 8:20,,
17.3,2019/3/5 8:10,,
17.3,2019/3/5 8:00,,
17.1,2019/3/5 7:50,,
16.9,2019/3/5 7:40,,
16.9,2019/3/5 7:30,,
16.7,2019/3/5 7:20,,
16.7,2019/3/5 7:10,,
16.6,2019/3/5 7:00,,
16.6,2019/3/5 6:50,,
16.6,2019/3/5 6:40,,
16.7,2019/3/5 6:30,,
16.6,2019/3/5 6:20,,
16.7,2019/3/5 6:10,,
16.7,2019/3/5 6:00,,
16.8,2019/3/5 5:50,,
16.8,2019/3/5 5:40,,
16.8,2019/3/5 5:30,,
16.8,2019/3/5 5:20,,
16.8,2019/3/5 5:10,,
16.8,2019/3/5 5:00,,
16.9,2019/3/5 4:50,,
16.9,2019/3/5 4:40,,
17,2019/3/5 4:30,,
17,2019/3/5 4:20,,
17,2019/3/5 4:10,,
17,2019/3/5 4:00,,
17,2019/3/5 3:50,,
17.1,2019/3/5 3:40,,
17.1,2019/3/5 3:30,,
17.1,2019/3/5 3:20,,
17.1,2019/3/5 3:10,,
17.1,2019/3/5 3:00,,
17.2,2019/3/5 2:50,,
17.2,2019/3/5 2:40,,
17.2,2019/3/5 2:30,,
17.2,2019/3/5 2:20,,
17.2,2019/3/5 2:10,,
17.3,2019/3/5 2:00,,
17.3,2019/3/5 1:50,,
17.3,2019/3/5 1:40,,
17.3,2019/3/5 1:30,,
17.4,2019/3/5 1:20,,
17.3,2019/3/5 1:10,,
17.3,2019/3/5 1:00,,
17.4,2019/3/5 0:50,,
17.4,2019/3/5 0:40,,
17.5,2019/3/5 0:30,,
17.5,2019/3/5 0:20,,
17.5,2019/3/5 0:10,,
17.5,2019/3/5 0:00,,
17.5,2019/3/4 23:50,,
17.6,2019/3/4 23:40,,
17.6,2019/3/4 23:30,,
17.5,2019/3/4 23:20,,
17.6,2019/3/4 23:10,,
17.6,2019/3/4 23:00,,
17.7,2019/3/4 22:50,,
17.8,2019/3/4 22:40,,
17.8,2019/3/4 22:30,,
17.8,2019/3/4 22:20,,
17.8,2019/3/4 22:10,,
17.9,2019/3/4 22:00,,
17.9,2019/3/4 21:50,,
18,2019/3/4 21:40,,
18,2019/3/4 21:30,,
18,2019/3/4 21:20,,
18.1,2019/3/4 21:10,,
18.1,2019/3/4 21:00,,
18.2,2019/3/4 20:50,,
18.3,2019/3/4 20:40,,
18.3,2019/3/4 20:30,,
18.4,2019/3/4 20:20,,
18.6,2019/3/4 20:10,,
18.6,2019/3/4 20:00,,
18.5,2019/3/4 19:50,,
18.6,2019/3/4 19:40,,
18.8,2019/3/4 19:30,,
18.8,2019/3/4 19:20,,
18.7,2019/3/4 19:10,,
18.8,2019/3/4 19:00,,
18.7,2019/3/4 18:50,,
18.5,2019/3/4 18:40,,
18.5,2019/3/4 18:30,,
18.3,2019/3/4 18:20,,
18.3,2019/3/4 18:10,,
18.1,2019/3/4 18:00,,
18.3,2019/3/4 17:50,,
18.3,2019/3/4 17:40,,
18.3,2019/3/4 17:30,,
18.3,2019/3/4 17:20,,
18.3,2019/3/4 17:10,,
18.3,2019/3/4 17:00,,
18.4,2019/3/4 16:50,,
18.4,2019/3/4 16:40,,
18.4,2019/3/4 16:30,,
18.5,2019/3/4 16:20,,
18.5,2019/3/4 16:10,,
18.5,2019/3/4 16:00,,
18.5,2019/3/4 15:50,,
18.5,2019/3/4 15:40,,
18.6,2019/3/4 15:30,,
18.5,2019/3/4 15:20,,
18.6,2019/3/4 15:10,,
18.6,2019/3/4 15:00,,
18.6,2019/3/4 14:50,,
18.3,2019/3/4 14:40,,
18.1,2019/3/4 14:30,,
18.1,2019/3/4 14:20,,
18,2019/3/4 14:10,,
17.6,2019/3/4 14:00,,
17.6,2019/3/4 13:50,,
17.6,2019/3/4 13:40,,
17.5,2019/3/4 13:30,,
17.6,2019/3/4 13:20,,
17.5,2019/3/4 13:10,,
17.6,2019/3/4 13:00,,
17.8,2019/3/4 12:50,,
17.8,2019/3/4 12:40,,
18,2019/3/4 12:30,,
18,2019/3/4 12:20,,
18,2019/3/4 12:10,,
17.5,2019/3/4 12:00,,
17.5,2019/3/4 11:50,,
17.5,2019/3/4 11:40,,
17,2019/3/4 11:30,,
17,2019/3/4 11:20,,
17,2019/3/4 11:10,,
17,2019/3/4 11:00,,
16.9,2019/3/4 10:50,,
16.9,2019/3/4 10:40,,
16.8,2019/3/4 10:30,,
16.8,2019/3/4 10:20,,
16.8,2019/3/4 10:10,,
16.8,2019/3/4 10:00,,
16.8,2019/3/4 9:50,,
16.7,2019/3/4 9:40,,
16.7,2019/3/4 9:30,,
16.6,2019/3/4 9:20,,
16.6,2019/3/4 9:10,,
16.6,2019/3/4 9:00,,
16.8,2019/3/4 8:50,,
16.8,2019/3/4 8:40,,
16.8,2019/3/4 8:30,,
16.8,2019/3/4 8:20,,
16.9,2019/3/4 8:10,,
16.8,2019/3/4 8:00,,
16.8,2019/3/4 7:50,,
16,2019/3/4 7:40,,
16,2019/3/4 7:30,,
15.7,2019/3/4 7:20,,
15.7,2019/3/4 7:10,,
15.7,2019/3/4 7:00,,
15.8,2019/3/4 6:50,,
15.8,2019/3/4 6:40,,
15.8,2019/3/4 6:30,,
15.8,2019/3/4 6:20,,
15.8,2019/3/4 6:10,,
15.8,2019/3/4 6:00,,
15.8,2019/3/4 5:50,,
15.9,2019/3/4 5:40,,
16,2019/3/4 5:30,,
16,2019/3/4 5:20,,
16,2019/3/4 5:10,,
16.1,2019/3/4 5:00,,
16.1,2019/3/4 4:50,,
16.1,2019/3/4 4:40,,
16.1,2019/3/4 4:30,,
16.2,2019/3/4 4:20,,
16.2,2019/3/4 4:10,,
16.3,2019/3/4 4:00,,
16.3,2019/3/4 3:50,,
16.3,2019/3/4 3:40,,
16.3,2019/3/4 3:30,,
16.3,2019/3/4 3:20,,
16.4,2019/3/4 3:10,,
16.4,2019/3/4 3:00,,
16.4,2019/3/4 2:50,,
16.5,2019/3/4 2:40,,
16.5,2019/3/4 2:30,,
16.5,2019/3/4 2:20,,
16.5,2019/3/4 2:10,,
16.6,2019/3/4 2:00,,
16.6,2019/3/4 1:50,,
16.6,2019/3/4 1:40,,
16.7,2019/3/4 1:30,,
16.7,2019/3/4 1:20,,
16.7,2019/3/4 1:10,,
16.8,2019/3/4 1:00,,
16.8,2019/3/4 0:50,,
16.8,2019/3/4 0:40,,
16.9,2019/3/4 0:30,,
16.9,2019/3/4 0:20,,
17,2019/3/4 0:10,,
17,2019/3/4 0:00,,
17,2019/3/3 23:50,,
17,2019/3/3 23:40,,
17.1,2019/3/3 23:30,,
17.1,2019/3/3 23:20,,
17.1,2019/3/3 23:10,,
17.2,2019/3/3 23:00,,
17.3,2019/3/3 22:50,,
17.3,2019/3/3 22:40,,
17.3,2019/3/3 22:30,,
17.3,2019/3/3 22:20,,
17.4,2019/3/3 22:10,,
17.5,2019/3/3 22:00,,
17.5,2019/3/3 21:50,,
17.6,2019/3/3 21:40,,
17.6,2019/3/3 21:30,,
17.7,2019/3/3 21:20,,
17.8,2019/3/3 21:10,,
18,2019/3/3 21:00,,
18.1,2019/3/3 20:50,,
18.3,2019/3/3 20:40,,
18.1,2019/3/3 20:30,,
17.9,2019/3/3 20:20,,
17.9,2019/3/3 20:10,,
17.9,2019/3/3 20:00,,
18,2019/3/3 19:50,,
18,2019/3/3 19:40,,
18.1,2019/3/3 19:30,,
18.3,2019/3/3 19:20,,
18.4,2019/3/3 19:10,,
18.5,2019/3/3 19:00,,
18.9,2019/3/3 18:50,,
18.6,2019/3/3 18:40,,
18.6,2019/3/3 18:30,,
18.6,2019/3/3 18:20,,
18,2019/3/3 18:10,,
18,2019/3/3 18:00,,
18,2019/3/3 17:50,,
18,2019/3/3 17:40,,
18,2019/3/3 17:30,,
18,2019/3/3 17:20,,
18,2019/3/3 17:10,,
18,2019/3/3 17:00,,
18.1,2019/3/3 16:50,,
18.1,2019/3/3 16:40,,
18.1,2019/3/3 16:30,,
18.1,2019/3/3 16:20,,
18,2019/3/3 16:10,,
18,2019/3/3 16:00,,
18,2019/3/3 15:50,,
18,2019/3/3 15:40,,
18,2019/3/3 15:30,,
18,2019/3/3 15:20,,
18,2019/3/3 15:10,,
18.1,2019/3/3 15:00,,
18.2,2019/3/3 14:50,,
18.4,2019/3/3 14:40,,
18.5,2019/3/3 14:30,,
18,2019/3/3 14:20,,
18,2019/3/3 14:10,,
18,2019/3/3 14:00,,
18.1,2019/3/3 13:50,,
18.1,2019/3/3 13:40,,
18.1,2019/3/3 13:30,,
18.2,2019/3/3 13:20,,
18.1,2019/3/3 13:10,,
18,2019/3/3 13:00,,
17.9,2019/3/3 12:50,,
17.9,2019/3/3 12:40,,
17.8,2019/3/3 12:30,,
17.9,2019/3/3 12:20,,
18,2019/3/3 12:10,,
17.9,2019/3/3 12:00,,
17.6,2019/3/3 11:50,,
17.6,2019/3/3 11:40,,
17.6,2019/3/3 11:30,,
17.5,2019/3/3 11:20,,
17.5,2019/3/3 11:10,,
17.5,2019/3/3 11:00,,
17.5,2019/3/3 10:50,,
17.5,2019/3/3 10:40,,
17.5,2019/3/3 10:30,,
17.5,2019/3/3 10:20,,
17.4,2019/3/3 10:10,,
17.3,2019/3/3 10:00,,
17.2,2019/3/3 9:50,,
17.3,2019/3/3 9:40,,
17.4,2019/3/3 9:30,,
17.4,2019/3/3 9:20,,
17.3,2019/3/3 9:10,,
17.3,2019/3/3 9:00,,
17.3,2019/3/3 8:50,,
17.4,2019/3/3 8:40,,
17.4,2019/3/3 8:30,,
17.2,2019/3/3 8:20,,
17.1,2019/3/3 8:10,,
17.2,2019/3/3 8:00,,
16.5,2019/3/3 7:50,,
16.1,2019/3/3 7:40,,
16.1,2019/3/3 7:30,,
16.1,2019/3/3 7:20,,
16.1,2019/3/3 7:10,,
16.1,2019/3/3 7:00,,
16.2,2019/3/3 6:50,,
16.2,2019/3/3 6:40,,
16.3,2019/3/3 6:30,,
16.3,2019/3/3 6:20,,
16.3,2019/3/3 6:10,,
16.3,2019/3/3 6:00,,
16.3,2019/3/3 5:50,,
16.3,2019/3/3 5:40,,
16.3,2019/3/3 5:30,,
16.4,2019/3/3 5:20,,
16.4,2019/3/3 5:10,,
16.4,2019/3/3 5:00,,
16.4,2019/3/3 4:50,,
16.5,2019/3/3 4:40,,
16.5,2019/3/3 4:30,,
16.5,2019/3/3 4:20,,
16.5,2019/3/3 4:10,,
16.5,2019/3/3 4:00,,
16.5,2019/3/3 3:50,,
16.6,2019/3/3 3:40,,
16.6,2019/3/3 3:30,,
16.6,2019/3/3 3:20,,
16.7,2019/3/3 3:10,,
16.7,2019/3/3 3:00,,
16.8,2019/3/3 2:50,,
16.8,2019/3/3 2:40,,
16.8,2019/3/3 2:30,,
16.8,2019/3/3 2:20,,
16.8,2019/3/3 2:10,,
16.8,2019/3/3 2:00,,
